scores,steps,episode
-10.0,190,1
-10.0,381,2
-10.0,410,3
-10.0,445,4
-10.0,470,5
-10.0,501,6
-10.0,534,7
-10.0,561,8
-10.0,593,9
-10.0,627,10
-10.0,654,11
-10.0,682,12
-10.0,714,13
-10.0,743,14
-10.0,764,15
-10.0,789,16
-10.0,817,17
-10.0,840,18
-10.0,868,19
100.0,882,20
-10.0,905,21
-10.0,931,22
-10.0,952,23
-10.0,976,24
-10.0,1000,25
100.0,1009,26
-10.0,1029,27
-10.0,1053,28
-10.0,1076,29
-10.0,1100,30
-10.0,1122,31
-10.0,1143,32
-10.0,1168,33
-10.0,1191,34
-10.0,1214,35
-10.0,1235,36
-10.0,1258,37
-10.0,1280,38
-10.0,1304,39
-10.0,1325,40
-10.0,1348,41
-10.0,1369,42
-10.0,1392,43
100.0,1394,44
-10.0,1418,45
-10.0,1437,46
-10.0,1458,47
-10.0,1479,48
-10.0,1510,49
-10.0,1549,50
-10.0,1582,51
-10.0,1609,52
-10.0,1636,53
-10.0,1657,54
-10.0,1683,55
-10.0,1745,56
-10.0,1842,57
-10.0,1881,58
-10.0,1908,59
100.0,1917,60
-10.0,1938,61
-10.0,1967,62
100.0,1974,63
100.0,1976,64
-10.0,2002,65
-10.0,2033,66
-10.0,2057,67
-10.0,2091,68
-10.0,2114,69
-10.0,2139,70
-10.0,2162,71
-10.0,2191,72
-10.0,2222,73
100.0,2230,74
100.0,2252,75
-10.0,2281,76
-10.0,2302,77
-10.0,2333,78
-10.0,2366,79
-10.0,2397,80
-10.0,2429,81
-10.0,2451,82
-10.0,2486,83
-10.0,2510,84
-10.0,2540,85
-10.0,2569,86
-10.0,2602,87
-10.0,2631,88
-10.0,2652,89
-10.0,2682,90
-10.0,2704,91
-10.0,2749,92
-10.0,2775,93
-10.0,2799,94
-10.0,2820,95
-10.0,2841,96
-10.0,2862,97
-10.0,2885,98
-10.0,2924,99
-10.0,2945,100
100.0,2966,101
-10.0,3000,102
-10.0,3038,103
-10.0,3057,104
-10.0,3088,105
-10.0,3111,106
-10.0,3134,107
-10.0,3163,108
-10.0,3188,109
-10.0,3215,110
-10.0,3244,111
-10.0,3269,112
-10.0,3308,113
-10.0,3333,114
-10.0,3354,115
-10.0,3373,116
-10.0,3394,117
-10.0,3415,118
-10.0,3436,119
-10.0,3455,120
-10.0,3476,121
-10.0,3500,122
-10.0,3522,123
-10.0,3559,124
-10.0,3606,125
100.0,3641,126
100.0,3646,127
100.0,3657,128
-10.0,3698,129
-10.0,3739,130
100.0,3762,131
-10.0,3791,132
100.0,3820,133
100.0,3831,134
-10.0,3858,135
-10.0,3889,136
100.0,3895,137
-10.0,3929,138
-10.0,3958,139
100.0,3965,140
-10.0,3992,141
-10.0,4047,142
-10.0,4082,143
-10.0,4133,144
100.0,4207,145
100.0,4249,146
-10.0,4317,147
100.0,4333,148
-10.0,4425,149
-10.0,4517,150
-10.0,4676,151
-10.0,4802,152
100.0,4942,153
-10.0,5059,154
-10.0,5280,155
100.0,5289,156
100.0,5291,157
100.0,5305,158
-10.0,5418,159
100.0,5561,160
100.0,5606,161
-10.0,5695,162
-10.0,5796,163
100.0,5875,164
-10.0,5972,165
-10.0,6055,166
100.0,6057,167
-10.0,6115,168
100.0,6136,169
100.0,6157,170
100.0,6189,171
100.0,6205,172
100.0,6230,173
100.0,6275,174
100.0,6356,175
100.0,6365,176
100.0,6394,177
100.0,6485,178
100.0,6550,179
-10.0,6679,180
-10.0,6784,181
-10.0,6831,182
100.0,6894,183
100.0,6915,184
100.0,6980,185
100.0,7043,186
-10.0,7104,187
100.0,7123,188
100.0,7132,189
100.0,7160,190
100.0,7184,191
100.0,7245,192
100.0,7392,193
100.0,7394,194
-10.0,7489,195
-10.0,7621,196
100.0,7626,197
-10.0,7691,198
100.0,7704,199
100.0,7761,200
100.0,7763,201
100.0,7783,202
100.0,7884,203
100.0,7935,204
-10.0,8018,205
100.0,8065,206
100.0,8162,207
-10.0,8195,208
100.0,8270,209
100.0,8321,210
-10.0,8404,211
100.0,8427,212
100.0,8526,213
100.0,8541,214
100.0,8564,215
100.0,8671,216
100.0,8679,217
100.0,8747,218
100.0,8850,219
100.0,8869,220
100.0,8898,221
100.0,8947,222
100.0,8968,223
100.0,8973,224
100.0,8989,225
-10.0,9065,226
100.0,9156,227
-10.0,9234,228
100.0,9286,229
100.0,9334,230
100.0,9380,231
100.0,9411,232
100.0,9440,233
-10.0,9492,234
100.0,9494,235
100.0,9537,236
100.0,9610,237
-10.0,9683,238
100.0,9787,239
100.0,9811,240
100.0,9906,241
-10.0,9973,242
100.0,10002,243
-10.0,10077,244
-10.0,10124,245
100.0,10132,246
100.0,10230,247
100.0,10249,248
100.0,10290,249
100.0,10357,250
-10.0,10492,251
100.0,10591,252
100.0,10637,253
100.0,10733,254
-10.0,10814,255
100.0,10823,256
100.0,10828,257
100.0,10849,258
100.0,10862,259
100.0,10885,260
100.0,10932,261
100.0,10937,262
100.0,11019,263
100.0,11039,264
100.0,11124,265
100.0,11182,266
100.0,11290,267
100.0,11335,268
-10.0,11408,269
-10.0,11480,270
100.0,11590,271
100.0,11597,272
100.0,11696,273
100.0,11711,274
100.0,11805,275
100.0,11811,276
-10.0,11886,277
-10.0,11952,278
100.0,11972,279
100.0,12069,280
100.0,12110,281
100.0,12112,282
-10.0,12181,283
-10.0,12257,284
100.0,12304,285
100.0,12311,286
100.0,12354,287
-10.0,12393,288
100.0,12480,289
100.0,12489,290
100.0,12502,291
-10.0,12543,292
100.0,12562,293
-10.0,12593,294
100.0,12650,295
100.0,12672,296
100.0,12694,297
100.0,12785,298
100.0,12826,299
100.0,12923,300
100.0,12952,301
100.0,12963,302
-10.0,13032,303
-10.0,13098,304
-10.0,13176,305
100.0,13221,306
100.0,13228,307
-10.0,13293,308
-10.0,13374,309
100.0,13376,310
100.0,13396,311
100.0,13483,312
100.0,13543,313
100.0,13551,314
100.0,13596,315
-10.0,13637,316
100.0,13657,317
-10.0,13688,318
-10.0,13718,319
100.0,13720,320
100.0,13750,321
100.0,13763,322
-10.0,13832,323
100.0,13851,324
100.0,13858,325
100.0,13917,326
-10.0,13997,327
100.0,14027,328
100.0,14058,329
100.0,14060,330
100.0,14154,331
-10.0,14239,332
100.0,14246,333
100.0,14253,334
-10.0,14290,335
100.0,14311,336
100.0,14380,337
100.0,14402,338
100.0,14510,339
100.0,14529,340
100.0,14538,341
-10.0,14617,342
100.0,14698,343
100.0,14709,344
100.0,14716,345
100.0,14723,346
100.0,14744,347
100.0,14839,348
-10.0,14876,349
100.0,14903,350
100.0,14946,351
100.0,14955,352
100.0,15056,353
-10.0,15118,354
100.0,15214,355
100.0,15318,356
-10.0,15360,357
-10.0,15437,358
100.0,15448,359
100.0,15461,360
100.0,15482,361
-10.0,15530,362
100.0,15586,363
-10.0,15623,364
100.0,15672,365
-10.0,15713,366
100.0,15734,367
100.0,15777,368
100.0,15830,369
100.0,15875,370
100.0,15962,371
100.0,15983,372
-10.0,16067,373
100.0,16069,374
100.0,16102,375
100.0,16157,376
100.0,16176,377
-10.0,16225,378
100.0,16238,379
100.0,16343,380
100.0,16350,381
100.0,16469,382
-10.0,16510,383
100.0,16523,384
100.0,16543,385
100.0,16557,386
100.0,16565,387
100.0,16579,388
100.0,16592,389
100.0,16641,390
100.0,16648,391
100.0,16754,392
