scores,steps,episode
-10.0,300,1
100.0,334,2
100.0,375,3
100.0,397,4
100.0,495,5
-10.0,570,6
100.0,609,7
100.0,646,8
100.0,731,9
100.0,802,10
100.0,879,11
100.0,918,12
-10.0,983,13
100.0,1032,14
100.0,1058,15
100.0,1114,16
-10.0,1157,17
-10.0,1274,18
-10.0,1297,19
100.0,1426,20
100.0,1527,21
100.0,1659,22
100.0,1694,23
-10.0,1727,24
100.0,1775,25
-10.0,1830,26
100.0,1919,27
100.0,1992,28
-10.0,2021,29
100.0,2096,30
100.0,2155,31
100.0,2192,32
-10.0,2249,33
100.0,2288,34
100.0,2337,35
100.0,2444,36
-10.0,2507,37
100.0,2592,38
100.0,2613,39
100.0,2740,40
100.0,2789,41
-10.0,2830,42
100.0,2867,43
100.0,2904,44
-10.0,2957,45
-10.0,3074,46
100.0,3159,47
-10.0,3318,48
100.0,3349,49
-10.0,3422,50
100.0,3511,51
100.0,3550,52
100.0,3573,53
-10.0,3612,54
100.0,3657,55
-10.0,3704,56
100.0,3719,57
100.0,3778,58
100.0,3829,59
100.0,3874,60
100.0,3905,61
-10.0,3946,62
-10.0,3977,63
-10.0,4006,64
100.0,4036,65
100.0,4090,66
100.0,4115,67
100.0,4160,68
100.0,4179,69
-10.0,4236,70
100.0,4251,71
100.0,4324,72
-10.0,4383,73
100.0,4400,74
100.0,4439,75
100.0,4464,76
-10.0,4501,77
100.0,4540,78
100.0,4581,79
100.0,4644,80
-10.0,4664,81
100.0,4706,82
-10.0,4737,83
100.0,4766,84
-10.0,4879,85
100.0,4922,86
100.0,5033,87
-10.0,5062,88
100.0,5121,89
100.0,5144,90
100.0,5189,91
-10.0,5211,92
100.0,5255,93
100.0,5312,94
100.0,5389,95
100.0,5437,96
100.0,5485,97
100.0,5554,98
100.0,5563,99
-10.0,5613,100
-10.0,5729,101
-10.0,5824,102
-10.0,5857,103
100.0,5890,104
100.0,5995,105
100.0,6032,106
100.0,6125,107
-10.0,6146,108
100.0,6269,109
-10.0,6362,110
100.0,6431,111
100.0,6482,112
-10.0,6573,113
-10.0,6635,114
-10.0,6673,115
100.0,6788,116
100.0,6877,117
-10.0,6928,118
100.0,6971,119
100.0,7002,120
100.0,7059,121
100.0,7084,122
100.0,7199,123
100.0,7254,124
-10.0,7299,125
100.0,7364,126
100.0,7427,127
100.0,7482,128
100.0,7593,129
-10.0,7650,130
100.0,7739,131
100.0,7790,132
100.0,7839,133
100.0,7915,134
100.0,8037,135
100.0,8125,136
-10.0,8187,137
-10.0,8212,138
-10.0,8243,139
100.0,8294,140
100.0,8371,141
-10.0,8428,142
100.0,8496,143
100.0,8508,144
100.0,8590,145
100.0,8662,146
-10.0,8692,147
-10.0,8716,148
-10.0,8773,149
-10.0,8810,150
100.0,8853,151
100.0,8928,152
-10.0,8955,153
-10.0,9007,154
100.0,9045,155
100.0,9133,156
-10.0,9161,157
100.0,9206,158
100.0,9221,159
100.0,9284,160
-10.0,9309,161
100.0,9328,162
-10.0,9346,163
100.0,9398,164
100.0,9489,165
-10.0,9546,166
100.0,9611,167
100.0,9658,168
100.0,9819,169
-10.0,9885,170
-10.0,9937,171
100.0,10018,172
100.0,10059,173
100.0,10136,174
-10.0,10195,175
100.0,10204,176
100.0,10265,177
100.0,10288,178
100.0,10363,179
100.0,10440,180
100.0,10511,181
100.0,10562,182
-10.0,10616,183
-10.0,10655,184
-10.0,10747,185
-10.0,10793,186
100.0,10880,187
100.0,10915,188
-10.0,10955,189
100.0,11043,190
-10.0,11065,191
100.0,11123,192
-10.0,11189,193
100.0,11239,194
100.0,11264,195
100.0,11297,196
-10.0,11370,197
100.0,11417,198
-10.0,11479,199
100.0,11535,200
100.0,11564,201
-10.0,11601,202
100.0,11629,203
-10.0,11695,204
-10.0,11715,205
100.0,11762,206
-10.0,11812,207
100.0,11859,208
100.0,11919,209
100.0,11960,210
100.0,12012,211
-10.0,12068,212
100.0,12162,213
-10.0,12189,214
100.0,12246,215
100.0,12276,216
100.0,12422,217
100.0,12471,218
-10.0,12492,219
-10.0,12549,220
-10.0,12628,221
100.0,12685,222
100.0,12730,223
100.0,12781,224
100.0,12882,225
100.0,12935,226
100.0,12984,227
100.0,13059,228
-10.0,13090,229
-10.0,13127,230
100.0,13178,231
-10.0,13199,232
100.0,13220,233
100.0,13257,234
-10.0,13298,235
-10.0,13357,236
100.0,13392,237
100.0,13421,238
100.0,13468,239
100.0,13513,240
100.0,13572,241
100.0,13635,242
-10.0,13708,243
100.0,13733,244
100.0,13802,245
100.0,13876,246
-10.0,14017,247
-10.0,14072,248
100.0,14132,249
-10.0,14165,250
-10.0,14231,251
-10.0,14265,252
-10.0,14348,253
-10.0,14372,254
100.0,14414,255
100.0,14485,256
100.0,14562,257
100.0,14603,258
100.0,14651,259
100.0,14673,260
-10.0,14702,261
100.0,14751,262
-10.0,14815,263
-10.0,14844,264
100.0,14888,265
-10.0,14949,266
-10.0,15018,267
100.0,15053,268
-10.0,15099,269
-10.0,15154,270
100.0,15208,271
100.0,15275,272
-10.0,15306,273
100.0,15347,274
100.0,15399,275
100.0,15465,276
100.0,15502,277
-10.0,15553,278
-10.0,15616,279
100.0,15703,280
-10.0,15736,281
100.0,15785,282
100.0,15792,283
100.0,15849,284
-10.0,15878,285
-10.0,15915,286
-10.0,15948,287
-10.0,16006,288
100.0,16036,289
100.0,16084,290
-10.0,16124,291
100.0,16179,292
100.0,16238,293
100.0,16315,294
-10.0,16378,295
100.0,16429,296
100.0,16470,297
100.0,16515,298
100.0,16554,299
100.0,16577,300
100.0,16605,301
100.0,16663,302
-10.0,16712,303
100.0,16741,304
100.0,16782,305
-10.0,16809,306
100.0,16886,307
-10.0,16909,308
100.0,16950,309
-10.0,16969,310
-10.0,17018,311
100.0,17065,312
100.0,17104,313
100.0,17123,314
-10.0,17148,315
100.0,17177,316
-10.0,17226,317
100.0,17271,318
-10.0,17340,319
100.0,17367,320
100.0,17431,321
100.0,17499,322
100.0,17574,323
100.0,17619,324
100.0,17685,325
-10.0,17707,326
100.0,17774,327
-10.0,17799,328
100.0,17826,329
100.0,17887,330
100.0,17964,331
100.0,18007,332
100.0,18039,333
100.0,18109,334
100.0,18118,335
100.0,18139,336
100.0,18186,337
100.0,18223,338
100.0,18280,339
100.0,18347,340
100.0,18386,341
100.0,18455,342
100.0,18490,343
-10.0,18519,344
100.0,18584,345
100.0,18659,346
100.0,18694,347
100.0,18729,348
-10.0,18779,349
-10.0,18800,350
100.0,18838,351
-10.0,18884,352
-10.0,18932,353
100.0,18961,354
100.0,19014,355
100.0,19063,356
100.0,19124,357
100.0,19185,358
100.0,19234,359
100.0,19287,360
100.0,19344,361
100.0,19415,362
100.0,19433,363
-10.0,19477,364
100.0,19516,365
100.0,19579,366
100.0,19654,367
100.0,19711,368
100.0,19740,369
100.0,19763,370
100.0,19808,371
-10.0,19857,372
100.0,19908,373
100.0,19947,374
100.0,20004,375
100.0,20087,376
100.0,20112,377
-10.0,20167,378
100.0,20251,379
100.0,20263,380
100.0,20294,381
100.0,20359,382
100.0,20395,383
100.0,20459,384
100.0,20536,385
100.0,20581,386
100.0,20626,387
100.0,20646,388
100.0,20712,389
-10.0,20751,390
100.0,20778,391
100.0,20821,392
-10.0,20854,393
-10.0,20871,394
100.0,20912,395
100.0,20992,396
-10.0,21070,397
-10.0,21096,398
100.0,21152,399
-10.0,21173,400
100.0,21238,401
100.0,21273,402
100.0,21322,403
100.0,21409,404
100.0,21418,405
100.0,21451,406
100.0,21502,407
-10.0,21531,408
100.0,21566,409
-10.0,21596,410
100.0,21688,411
-10.0,21719,412
100.0,21768,413
100.0,21833,414
100.0,21870,415
100.0,21937,416
100.0,21962,417
-10.0,21999,418
-10.0,22043,419
-10.0,22069,420
-10.0,22140,421
100.0,22231,422
100.0,22266,423
-10.0,22309,424
100.0,22328,425
100.0,22393,426
100.0,22494,427
100.0,22539,428
-10.0,22610,429
100.0,22687,430
100.0,22728,431
-10.0,22775,432
-10.0,22802,433
100.0,22853,434
-10.0,22908,435
-10.0,22947,436
100.0,22984,437
100.0,23023,438
-10.0,23048,439
-10.0,23070,440
100.0,23158,441
100.0,23187,442
100.0,23232,443
-10.0,23265,444
100.0,23296,445
100.0,23331,446
100.0,23356,447
100.0,23403,448
100.0,23482,449
100.0,23565,450
100.0,23634,451
100.0,23677,452
-10.0,23705,453
100.0,23757,454
100.0,23815,455
100.0,23863,456
-10.0,23887,457
-10.0,23967,458
100.0,24020,459
100.0,24087,460
100.0,24154,461
-10.0,24195,462
100.0,24248,463
100.0,24331,464
-10.0,24378,465
100.0,24399,466
100.0,24446,467
100.0,24539,468
-10.0,24570,469
100.0,24609,470
100.0,24662,471
100.0,24727,472
-10.0,24756,473
-10.0,24779,474
-10.0,24796,475
100.0,24845,476
100.0,24872,477
100.0,24961,478
100.0,25008,479
100.0,25051,480
100.0,25100,481
100.0,25127,482
100.0,25189,483
-10.0,25229,484
-10.0,25263,485
100.0,25327,486
100.0,25412,487
100.0,25506,488
100.0,25605,489
-10.0,25664,490
100.0,25691,491
100.0,25725,492
-10.0,25784,493
-10.0,25811,494
100.0,25896,495
100.0,25919,496
100.0,25955,497
100.0,25979,498
100.0,25998,499
100.0,26017,500
100.0,26082,501
100.0,26153,502
100.0,26208,503
-10.0,26271,504
100.0,26298,505
100.0,26380,506
100.0,26450,507
100.0,26493,508
100.0,26544,509
100.0,26591,510
100.0,26680,511
-10.0,26709,512
-10.0,26730,513
100.0,26783,514
100.0,26866,515
-10.0,26921,516
100.0,26940,517
-10.0,26967,518
-10.0,26988,519
100.0,27038,520
100.0,27060,521
100.0,27112,522
100.0,27196,523
-10.0,27240,524
-10.0,27260,525
100.0,27347,526
100.0,27404,527
-10.0,27435,528
100.0,27484,529
100.0,27545,530
100.0,27608,531
100.0,27649,532
100.0,27712,533
100.0,27737,534
100.0,27812,535
100.0,27862,536
100.0,27890,537
100.0,27970,538
100.0,28034,539
-10.0,28054,540
-10.0,28102,541
100.0,28165,542
100.0,28262,543
100.0,28315,544
100.0,28378,545
-10.0,28403,546
100.0,28430,547
100.0,28485,548
100.0,28506,549
100.0,28539,550
100.0,28598,551
100.0,28661,552
100.0,28712,553
-10.0,28751,554
100.0,28758,555
-10.0,28780,556
-10.0,28799,557
100.0,28847,558
100.0,28898,559
100.0,28977,560
-10.0,29005,561
100.0,29049,562
100.0,29092,563
100.0,29161,564
-10.0,29187,565
100.0,29240,566
-10.0,29278,567
100.0,29305,568
100.0,29346,569
100.0,29391,570
100.0,29433,571
100.0,29479,572
100.0,29572,573
100.0,29625,574
100.0,29684,575
100.0,29757,576
100.0,29799,577
-10.0,29855,578
100.0,29958,579
100.0,29985,580
100.0,30014,581
100.0,30033,582
100.0,30092,583
-10.0,30135,584
100.0,30188,585
100.0,30251,586
-10.0,30302,587
100.0,30359,588
100.0,30444,589
100.0,30504,590
100.0,30560,591
100.0,30603,592
100.0,30654,593
100.0,30709,594
100.0,30788,595
100.0,30831,596
100.0,30859,597
100.0,30914,598
100.0,31001,599
100.0,31068,600
100.0,31110,601
100.0,31220,602
100.0,31265,603
100.0,31310,604
100.0,31367,605
100.0,31398,606
100.0,31465,607
100.0,31524,608
100.0,31597,609
100.0,31692,610
-10.0,31764,611
100.0,31814,612
100.0,31863,613
-10.0,31882,614
100.0,31933,615
100.0,31966,616
-10.0,32036,617
-10.0,32060,618
-10.0,32093,619
100.0,32147,620
-10.0,32203,621
100.0,32240,622
100.0,32282,623
-10.0,32324,624
100.0,32360,625
100.0,32380,626
-10.0,32416,627
-10.0,32452,628
100.0,32481,629
100.0,32544,630
100.0,32589,631
100.0,32674,632
100.0,32724,633
100.0,32740,634
100.0,32787,635
-10.0,32902,636
100.0,32968,637
100.0,33026,638
100.0,33055,639
-10.0,33082,640
-10.0,33119,641
100.0,33150,642
100.0,33159,643
100.0,33222,644
100.0,33261,645
100.0,33268,646
100.0,33351,647
-10.0,33391,648
100.0,33423,649
100.0,33496,650
100.0,33527,651
100.0,33572,652
100.0,33619,653
100.0,33670,654
100.0,33739,655
100.0,33792,656
100.0,33813,657
100.0,33848,658
