scores,steps,episode
-10.0,191,1
100.0,248,2
100.0,292,3
-10.0,369,4
-10.0,450,5
-10.0,527,6
-10.0,567,7
-10.0,647,8
100.0,788,9
-10.0,825,10
-10.0,866,11
100.0,973,12
-10.0,1024,13
-10.0,1093,14
-10.0,1136,15
-10.0,1285,16
100.0,1358,17
100.0,1485,18
100.0,1528,19
100.0,1733,20
-10.0,1858,21
-10.0,1933,22
-10.0,1968,23
-10.0,2065,24
-10.0,2160,25
-10.0,2201,26
-10.0,2330,27
-10.0,2437,28
-10.0,2518,29
-10.0,2650,30
100.0,2746,31
100.0,2805,32
100.0,2880,33
-10.0,2959,34
100.0,3070,35
-10.0,3128,36
100.0,3200,37
100.0,3334,38
-10.0,3402,39
100.0,3422,40
-10.0,3513,41
-10.0,3623,42
100.0,3625,43
-10.0,3661,44
-10.0,3752,45
-10.0,3811,46
-10.0,3844,47
-10.0,3908,48
-10.0,3960,49
-10.0,4021,50
-10.0,4078,51
100.0,4147,52
100.0,4208,53
100.0,4332,54
-10.0,4448,55
-10.0,4509,56
-10.0,4538,57
-10.0,4563,58
-10.0,4670,59
-10.0,4753,60
-10.0,4820,61
-10.0,4859,62
-10.0,4964,63
-10.0,5025,64
-10.0,5142,65
-10.0,5185,66
-10.0,5246,67
-10.0,5352,68
-10.0,5422,69
100.0,5456,70
100.0,5515,71
100.0,5586,72
-10.0,5679,73
-10.0,5738,74
-10.0,5878,75
-10.0,5909,76
-10.0,5993,77
-10.0,6096,78
100.0,6197,79
100.0,6270,80
-10.0,6379,81
-10.0,6469,82
-10.0,6503,83
100.0,6588,84
100.0,6605,85
-10.0,6704,86
-10.0,6743,87
-10.0,6901,88
100.0,7035,89
100.0,7190,90
-10.0,7233,91
-10.0,7289,92
100.0,7313,93
-10.0,7386,94
-10.0,7433,95
-10.0,7478,96
100.0,7557,97
-10.0,7599,98
-10.0,7681,99
100.0,7735,100
100.0,7777,101
100.0,7946,102
-10.0,8067,103
-10.0,8100,104
-10.0,8179,105
-10.0,8266,106
-10.0,8325,107
-10.0,8402,108
-10.0,8451,109
-10.0,8480,110
-10.0,8525,111
-10.0,8572,112
-10.0,8663,113
100.0,8728,114
-10.0,8865,115
-10.0,8901,116
100.0,9003,117
100.0,9042,118
-10.0,9103,119
100.0,9183,120
-10.0,9217,121
-10.0,9256,122
100.0,9303,123
-10.0,9382,124
-10.0,9433,125
-10.0,9466,126
-10.0,9502,127
100.0,9566,128
-10.0,9605,129
100.0,9632,130
-10.0,9668,131
-10.0,9722,132
100.0,9753,133
-10.0,9801,134
100.0,9819,135
100.0,9890,136
-10.0,9925,137
-10.0,9954,138
100.0,10069,139
-10.0,10112,140
-10.0,10168,141
-10.0,10215,142
-10.0,10281,143
-10.0,10322,144
100.0,10362,145
100.0,10381,146
100.0,10440,147
100.0,10489,148
100.0,10570,149
-10.0,10613,150
100.0,10668,151
-10.0,10723,152
100.0,10742,153
100.0,10813,154
-10.0,10906,155
100.0,11003,156
100.0,11069,157
100.0,11155,158
-10.0,11194,159
100.0,11285,160
-10.0,11334,161
100.0,11453,162
-10.0,11494,163
100.0,11547,164
-10.0,11635,165
100.0,11707,166
-10.0,11764,167
100.0,11803,168
-10.0,11840,169
100.0,11931,170
-10.0,12022,171
-10.0,12053,172
100.0,12122,173
-10.0,12180,174
-10.0,12234,175
-10.0,12271,176
100.0,12322,177
100.0,12355,178
-10.0,12402,179
100.0,12465,180
100.0,12526,181
-10.0,12591,182
100.0,12648,183
100.0,12741,184
-10.0,12778,185
-10.0,12805,186
-10.0,12860,187
-10.0,12893,188
100.0,12914,189
-10.0,13021,190
-10.0,13082,191
-10.0,13158,192
-10.0,13247,193
-10.0,13307,194
-10.0,13346,195
-10.0,13429,196
-10.0,13470,197
100.0,13545,198
-10.0,13674,199
100.0,13693,200
-10.0,13749,201
-10.0,13778,202
-10.0,13894,203
100.0,13921,204
-10.0,13972,205
-10.0,14031,206
-10.0,14078,207
-10.0,14117,208
-10.0,14180,209
-10.0,14229,210
100.0,14278,211
-10.0,14419,212
-10.0,14544,213
100.0,14626,214
100.0,14704,215
-10.0,14865,216
-10.0,14925,217
-10.0,15040,218
-10.0,15130,219
100.0,15132,220
100.0,15207,221
100.0,15263,222
-10.0,15347,223
100.0,15421,224
100.0,15488,225
-10.0,15541,226
-10.0,15634,227
-10.0,15710,228
100.0,15772,229
-10.0,15817,230
-10.0,15894,231
100.0,16015,232
-10.0,16068,233
100.0,16137,234
-10.0,16212,235
-10.0,16337,236
100.0,16394,237
-10.0,16456,238
-10.0,16556,239
-10.0,16601,240
100.0,16791,241
-10.0,16827,242
-10.0,16946,243
-10.0,17017,244
100.0,17164,245
-10.0,17204,246
100.0,17298,247
100.0,17407,248
-10.0,17462,249
-10.0,17576,250
-10.0,17662,251
100.0,17743,252
-10.0,17880,253
100.0,17961,254
-10.0,18008,255
-10.0,18075,256
100.0,18102,257
